"","donor","tissue","age_mid","Residuals"
"NBPF1",0.143182987338189,0.696381704976186,0.000271230758000175,0.160164076927625
"AGBL5",0.00764771957396717,0.88483407537791,0.000102590659072098,0.10741561438905
"C1orf112",0.0439601091679014,0.717193602350657,0.00188582135502476,0.236960467126417
"DTNBP1",0.0277809877038587,0.618314368302935,0.000328892266003028,0.353575751727203
"SELL",0.00427070001822153,0.941733081609218,1.54087938832778e-05,0.0539808095786768
"SLC4A5",0.0206533256230336,0.831615296586741,0.0046096637594784,0.143121714030747
"THBS3",0.0115021896748368,0.787227133773459,0.00395612379223049,0.197314552759473
"BBS12",0.0204760566432395,0.871141281159479,0.000407085684530245,0.107975576512752
"ANK2",0.0349651311586581,0.80579825227146,0.00565803366941221,0.153578582900469
"RBP7",0.0280376754466622,0.710267333837736,8.69851308016044e-05,0.2616080055848
"ASAP2",0.0131644000304268,0.930288824850097,0.000172065791134889,0.0563747093283414
"LNPEP",0.00936123521683905,0.68024322494467,2.83353547393637e-05,0.310367204483752
"TMEM87B",0.0107138310961047,0.860637817790815,0.000353060657217175,0.128295290455863
"PRICKLE2",0.0077415237716732,0.940593697974119,0.00040391898065432,0.0512608592735531
"RUSC1-AS1",0.0222856289188374,0.778959895430556,0.00256554854824306,0.196188927102363
"RPSA",0.0226906412209187,0.565181070710875,0.00184164711025861,0.410286640957948
"KCNK2",0.01943020771986,0.627769452587851,0.0141556462843774,0.338644693407912
"C3orf58",0.0191258915190293,0.730468636315021,0.000280423602522814,0.250125048563427
"PLA2G2A",0.103856925747801,0.658280403392521,0.000339845379238982,0.237522825480439
"COX5B",0.0505922391368073,0.682127411688826,0.00499396747084798,0.262286381703519
"RNASEH1",0.0178689358136609,0.771898529759041,0.00136103960592255,0.208871494821375
"RP11-277B15.3",0.0393082286065079,0.33146312346665,2.2159583800266e-05,0.629206488343042
"WWTR1",0.0050344190562195,0.955527098413353,0.000361470674552179,0.0390770118558746
"C6",0.0402700531655412,0.7360265303389,0.00103562493621623,0.222667791559343
"VARS2",0.0640695793758969,0.734549752469372,0.000838135705659598,0.200542532449072
"SNORA62",0.0185954394651347,0.500948922862409,0.00408678736071683,0.47636885031174
"ADRA1B",0.0338182680878572,0.823683419763762,0.00123340795750026,0.14126490419088
"TCF7L1",0.00227621702488387,0.928683291548145,5.78622052060092e-05,0.0689826292217646
